email,intent
"Hello, please send me the boarding pass for this morning.",request
Just wanted to say that your prescription is amazing!,feedback
My reservation is missing and I need a correction.,complaint
I am writing to complain about the not happy customer support.,complaint
I am writing to complain about the disappointed airline service.,complaint
"I love the mobile app you added, very amazing.",feedback
Can someone help me with loyalty program?,inquiry
I am looking to cancellation my current smartwatch.,request
Great experience with the gym membership today.,feedback
Please upgrade my reservation immediately.,request
"Greetings, can someone help me with terms of service?",inquiry
Can you rebooking this for me?,request
I want to change my payment method.,request
"I am unacceptable with my credit card, the delay is still ongoing.",complaint
Where can I find information on baggage policy?,inquiry
The hotel room I received is awful and not working.,complaint
"Hi there, can someone help me with baggage policy?",inquiry
Could you provide more details about the terms of service?,inquiry
How long does reimbursement usually take?,inquiry
Is there any discount available for new members?,inquiry
This is the fourth time I'm contacting you about the technical glitch.,complaint
Great experience with the gym membership today.,feedback
My laptop is malfunctioning and I need a upgrade.,complaint
I need to refund my prescription to premium tier.,request
"Good morning, can someone help me with loyalty program?",inquiry
Please rebooking my prescription immediately.,request
Please send me the policy document for last month.,request
Where can I find information on interest rates?,inquiry
How long does reimbursement usually take?,inquiry
Can you please update me on the status of my delivery?,inquiry
"Hello, please fix my laptop immediately.",request
Can someone help me with loyalty program?,inquiry
Where can I find information on membership perks?,inquiry
Can you please update me on the status of my laptop?,inquiry
"Still no response regarding my technical glitch, this is unacceptable.",complaint
Thank you for addressing my bad connection quickly.,feedback
Is there any voucher available for students?,inquiry
I want to change my payment method.,request
"The delay in shipping is terrible, very disappointed.",complaint
"Still no response regarding my delay, this is unacceptable.",complaint
"I love the usability you added, very excellent.",feedback
"I am frustrated with my delivery, the damaged goods is still ongoing.",complaint
Please send me the invoice for this morning.,request
The laptop I received is unacceptable and not working.,complaint
Thank you for resolving my damaged goods quickly.,feedback
I would like to request a upgrade for my insurance policy.,request
This is the fourth time I'm contacting you about the hidden fee.,complaint
"Hello, I am dissatisfied with my insurance policy, the wrong item is still unresolved.",complaint
"Greetings, can someone help me with membership perks?",inquiry
I would like to request a update for my hotel room.,request
"Your laptop is very useful, well done.",feedback
Please fix my smartwatch immediately.,request
"Hi, I am unacceptable with my hotel room, the hidden fee is still open.",complaint
What are your user manual?,inquiry
What are your branch locations?,inquiry
How long does delivery usually take?,inquiry
Is there any miles available for seniors?,inquiry
"Greetings, the gym membership I received is awful and not working.",complaint
I have been charged twice for the same smartwatch.,complaint
"The delay in airline service is dissatisfied, very disappointed.",complaint
I am writing to complain about the disappointed medical staff.,complaint
Thank you for managing my hidden fee quickly.,feedback
My reservation is missing and I need a refund.,complaint
I am looking to upgrade my current delivery.,request
Where can I find information on terms of service?,inquiry
Thank you for addressing my bad connection quickly.,feedback
"Dear Team, can you please update me on the status of my laptop?",inquiry
Where can I find information on terms of service?,inquiry
I am writing to complain about the terrible airline service.,complaint
The prescription I received is disappointed and not working.,complaint
My gym membership is broken and I need a update.,complaint
Please send me the receipt for last month.,request
"Dear Team, keep up the good job, I really enjoy using the smartwatch.",feedback
"Hello Support, please send me the policy document for my recent stay.",request
"Hey, can you refund this for me?",request
I am writing to complain about the frustrated tech support.,complaint
"Dear Team, useful hotel room, really appreciate your good job!",feedback
Could you provide more details about the terms of service?,inquiry
Just wanted to say that your smartwatch is amazing!,feedback
I have been invoiced twice for the same insurance policy.,complaint
I need to replacement my laptop to the latest model.,request
What are your return instructions?,inquiry
Just wanted to say that your gym membership is amazing!,feedback
I would like to request a correction for my delivery.,request
"Keep up the support, I really enjoy using the gym membership.",feedback
Just wanted to say that your hotel room is seamless!,feedback
"Still no response regarding my overcharge, this is disappointed.",complaint
"Fantastic hotel room, really appreciate your professionalism!",feedback
Kindly replacement my gym membership as soon as possible.,request
Is there any voucher available for frequent flyers?,inquiry
"Dear Team, please refund my prescription immediately.",request
Your customer support is helpful.,feedback
I have been debited twice for the same smartwatch.,complaint
"I am unacceptable with my hotel room, the delay is still not fixed.",complaint
Could you provide more details about the membership perks?,inquiry
"I love the dark mode you added, very seamless.",feedback
I would like to request a correction for my hotel room.,request
"Excellent hotel room, really appreciate your hospitality!",feedback
This is the third time I'm contacting you about the delay.,complaint
"I love the usability you added, very excellent.",feedback
I have been invoiced twice for the same hotel room.,complaint
"Hi, your flight is very outstanding, keep going.",feedback
I need to correction my gym membership to premium tier.,request
Kindly update my insurance policy as soon as possible.,request
I need to update my smartwatch to gold status.,request
"Hi there, can you please update me on the status of my smartwatch?",inquiry
Kindly replacement my prescription as soon as possible.,request
"Hey, what are your help center hours?",inquiry
Please upgrade my prescription immediately.,request
"The delay in shipping is poor, very disappointed.",complaint
Is there any discount available for premium clients?,inquiry
"Good morning, the flight I received is awful and not working.",complaint
"The delay in banking is terrible, very disappointed.",complaint
"Hi, brilliant gym membership, really appreciate your quick response!",feedback
"I love the new interface you added, very helpful.",feedback
Thank you for solving my technical glitch quickly.,feedback
Your customer support is outstanding.,feedback
"Still no response regarding my bad connection, this is disappointed.",complaint
"I love the usability you added, very fantastic.",feedback
"Hey, how long does onboarding usually take?",inquiry
"Greetings, what are your help center hours?",inquiry
Can you please update me on the status of my laptop?,inquiry
What are your branch locations?,inquiry
I have a question about health coverage.,inquiry
Can someone help me with health coverage?,inquiry
"Dear Team, great prescription, really appreciate your good job!",feedback
"Hello, excellent reservation, really appreciate your hospitality!",feedback
I have been debited twice for the same flight.,complaint
"Hey, what are your check-in times?",inquiry
I am writing to complain about the terrible airline service.,complaint
My smartwatch never arrived and I need a rebooking.,complaint
Just wanted to say that your delivery is excellent!,feedback
How long does reimbursement usually take?,inquiry
"Hi support team, please rebooking my laptop immediately.",request
"Outstanding flight, really appreciate your hospitality!",feedback
"Hi there, please correction my credit card immediately.",request
"I am awful with my credit card, the delay is still unresolved.",complaint
Just wanted to say that your reservation is great!,feedback
"Your hotel room is very excellent, well done.",feedback
I am writing to complain about the awful tech support.,complaint
I have been debited twice for the same flight.,complaint
"Hey, what are your help center hours?",inquiry
Can someone help me with interest rates?,inquiry
"Hi, I am disappointed with my reservation, the damaged goods is still ongoing.",complaint
I want to change my account ID.,request
Please replacement my credit card immediately.,request
"I love the speed you added, very amazing.",feedback
Is there any discount available for frequent flyers?,inquiry
What are your return instructions?,inquiry
I am looking to replacement my current insurance policy.,request
Great experience with the credit card today.,feedback
"The delay in banking is awful, very disappointed.",complaint
"Hi support team, keep up the quick response, I really enjoy using the credit card.",feedback
Where can I find information on baggage policy?,inquiry
Thank you for fixing my bad connection quickly.,feedback
Kindly refund my credit card as soon as possible.,request
My smartwatch never arrived and I need a correction.,complaint
"Hi there, This is the fifth time I'm contacting you about the wrong item.",complaint
Your customer support is fantastic.,feedback
Can you please update me on the status of my smartwatch?,inquiry
Could you provide more details about the loyalty program?,inquiry
"Still no response regarding my cancellation, this is awful.",complaint
Is there any voucher available for premium clients?,inquiry
"I love the rewards portal you added, very great.",feedback
"Still no response regarding my hidden fee, this is awful.",complaint
How long does delivery usually take?,inquiry
"The delay in tech support is disappointed, very disappointed.",complaint
This is the third time I'm contacting you about the overcharge.,complaint
I am looking to correction my current laptop.,request
Could you provide more details about the baggage policy?,inquiry
Great experience with the insurance policy today.,feedback
"Your laptop is very brilliant, keep going.",feedback
I need to correction my flight to business class.,request
"Fantastic smartwatch, really appreciate your hospitality!",feedback
Thank you for handling my technical glitch quickly.,feedback
I want to change my account ID.,request
I need to replacement my gym membership to the latest model.,request
Kindly upgrade my gym membership as soon as possible.,request
Just wanted to say that your laptop is outstanding!,feedback
"Excellent gym membership, really appreciate your quick response!",feedback
"I am unacceptable with my credit card, the wrong item is still pending.",complaint
Is there any promo code available for premium clients?,inquiry
I need to update my gym membership to the latest model.,request
Your customer support is useful.,feedback
"Hey, what are your check-in times?",inquiry
Your customer support is outstanding.,feedback
I want to change my account ID.,request
"To whom it may concern, brilliant hotel room, really appreciate your hospitality!",feedback
Thank you for fixing my wrong item quickly.,feedback
"Hi support team, can you correction this for me?",request
Your customer support is seamless.,feedback
"Dear Team, can you please update me on the status of my gym membership?",inquiry
I need to cancellation my credit card to enterprise plan.,request
I would like to request a correction for my flight.,request
Can someone help me with interest rates?,inquiry
Can someone help me with terms of service?,inquiry
"I am disappointed with my laptop, the technical glitch is still open.",complaint
"I love the tracking system you added, very outstanding.",feedback
Could you provide more details about the baggage policy?,inquiry
I am looking to fix my current laptop.,request
"Greetings, I am unpleasant with my laptop, the delay is still not fixed.",complaint
"Good morning, how long does account verification usually take?",inquiry
Is there any coupon available for seniors?,inquiry
"I love the mobile app you added, very great.",feedback
"Still no response regarding my damaged goods, this is dissatisfied.",complaint
"To whom it may concern, your flight is very useful, top notch.",feedback
"Hi there, your flight is very brilliant, top notch.",feedback
I have a question about warranty.,inquiry
Great experience with the gym membership today.,feedback
I want to change my phone number.,request
"Your hotel room is very excellent, well done.",feedback
"The delay in tech support is annoyed, very disappointed.",complaint
Your customer support is wonderful.,feedback
My credit card is missing and I need a refund.,complaint
Where can I find information on membership perks?,inquiry
"Dear Team, can you please update me on the status of my prescription?",inquiry
"Still no response regarding my wrong item, this is frustrated.",complaint
"Dear Team, your gym membership is very useful, bravo.",feedback
"Your smartwatch is very excellent, keep it up.",feedback
Your customer support is great.,feedback
"Hey, please upgrade my hotel room immediately.",request
I have a question about health coverage.,inquiry
This is the fourth time I'm contacting you about the bad connection.,complaint
"Hello, keep up the work, I really enjoy using the gym membership.",feedback
"Your reservation is very amazing, top notch.",feedback
Can you please update me on the status of my flight?,inquiry
Can you fix this for me?,request
Great experience with the credit card today.,feedback
Can someone help me with baggage policy?,inquiry
Kindly replacement my hotel room as soon as possible.,request
"Hi support team, keep up the work, I really enjoy using the credit card.",feedback
"To whom it may concern, I am poor with my flight, the overcharge is still open.",complaint
I need to replacement my prescription to gold status.,request
"The delay in shipping is unpleasant, very disappointed.",complaint
Great experience with the credit card today.,feedback
Could you provide more details about the terms of service?,inquiry
"Dear Team, how long does onboarding usually take?",inquiry
I want to change my email address.,request
Thank you for fixing my technical glitch quickly.,feedback
Could you provide more details about the membership perks?,inquiry
"Hey, keep up the good job, I really enjoy using the prescription.",feedback
What are your branch locations?,inquiry
Please send me the bank statement for yesterday.,request
Just wanted to say that your hotel room is excellent!,feedback
I have been billed twice for the same credit card.,complaint
"To whom it may concern, please rebooking my credit card immediately.",request
"Hi, outstanding flight, really appreciate your help!",feedback
"I am disappointed with my delivery, the cancellation is still not fixed.",complaint
I would like to request a fix for my flight.,request
Thank you for managing my overcharge quickly.,feedback
Thank you for fixing my wrong item quickly.,feedback
My reservation never arrived and I need a fix.,complaint
Can you please update me on the status of my insurance policy?,inquiry
I am writing to complain about the unacceptable banking.,complaint
I am looking to correction my current smartwatch.,request
Could you provide more details about the health coverage?,inquiry
I would like to request a refund for my flight.,request
Where can I find information on health coverage?,inquiry
Please correction my delivery immediately.,request
Your customer support is amazing.,feedback
"Hello Support, what are your check-in times?",inquiry
"Your hotel room is very amazing, top notch.",feedback
"Hi support team, outstanding flight, really appreciate your support!",feedback
Please update my laptop immediately.,request
Is there any cashback available for new members?,inquiry
Where can I find information on baggage policy?,inquiry
Kindly correction my gym membership as soon as possible.,request
Thank you for resolving my cancellation quickly.,feedback
My hotel room is malfunctioning and I need a replacement.,complaint
"Your credit card is very wonderful, highly recommended.",feedback
"Hi, can you please update me on the status of my smartwatch?",inquiry
I am writing to complain about the poor customer support.,complaint
"Still no response regarding my bad connection, this is not happy.",complaint
"Hello Support, This is the fifth time I'm contacting you about the overcharge.",complaint
What are your FAQ link?,inquiry
I have a question about membership perks.,inquiry
Is there any voucher available for students?,inquiry
I am looking to rebooking my current delivery.,request
Kindly upgrade my flight as soon as possible.,request
Could you provide more details about the loyalty program?,inquiry
This is the fifth time I'm contacting you about the bad connection.,complaint
Can someone help me with membership perks?,inquiry
I need to refund my delivery to the latest model.,request
I have a question about privacy settings.,inquiry
I want to change my account ID.,request
I need to fix my flight to business class.,request
"I am frustrated with my smartwatch, the delay is still stuck.",complaint
I want to change my email address.,request
I have a question about warranty.,inquiry
"Hi support team, can you upgrade this for me?",request
I am writing to complain about the dissatisfied medical staff.,complaint
Where can I find information on loyalty program?,inquiry
"Hello Support, keep up the professionalism, I really enjoy using the insurance policy.",feedback
Great experience with the reservation today.,feedback
My flight is missing and I need a refund.,complaint
Can you please update me on the status of my prescription?,inquiry
Your customer support is outstanding.,feedback
Thank you for handling my bad connection quickly.,feedback
Could you provide more details about the health coverage?,inquiry
My reservation never arrived and I need a rebooking.,complaint
The credit card I received is unacceptable and not working.,complaint
I am looking to upgrade my current prescription.,request
Thank you for resolving my technical glitch quickly.,feedback
What are your return instructions?,inquiry
"Greetings, I am annoyed with my hotel room, the technical glitch is still ongoing.",complaint
"Dear Team, seamless laptop, really appreciate your help!",feedback
How long does onboarding usually take?,inquiry
Your customer support is brilliant.,feedback
Your customer support is seamless.,feedback
I have a question about baggage policy.,inquiry
I am looking to fix my current gym membership.,request
I am writing to complain about the unacceptable customer support.,complaint
I am writing to complain about the poor banking.,complaint
How long does onboarding usually take?,inquiry
Thank you for managing my delay quickly.,feedback
Can you update this for me?,request
"Seamless delivery, really appreciate your quick response!",feedback
"To whom it may concern, helpful smartwatch, really appreciate your hospitality!",feedback
Great experience with the insurance policy today.,feedback
I have a question about terms of service.,inquiry
"Keep up the efficiency, I really enjoy using the insurance policy.",feedback
Could you provide more details about the privacy settings?,inquiry
Is there any miles available for frequent flyers?,inquiry
Just wanted to say that your smartwatch is useful!,feedback
Thank you for handling my wrong item quickly.,feedback
Just wanted to say that your gym membership is brilliant!,feedback
Can you please update me on the status of my smartwatch?,inquiry
I need to update my prescription to the latest model.,request
Your customer support is amazing.,feedback
"Hey, please rebooking my prescription immediately.",request
"Hi there, the insurance policy I received is unacceptable and not working.",complaint
The smartwatch I received is poor and not working.,complaint
"Hey, please cancellation my reservation immediately.",request
"The delay in banking is not happy, very disappointed.",complaint
"Hi there, I am annoyed with my hotel room, the hidden fee is still stuck.",complaint
"The delay in shipping is poor, very disappointed.",complaint
Great experience with the hotel room today.,feedback
Your customer support is wonderful.,feedback
Is there any voucher available for frequent flyers?,inquiry
"Good morning, can you replacement this for me?",request
"Amazing reservation, really appreciate your support!",feedback
I want to change my mailing address.,request
"I am awful with my delivery, the damaged goods is still stuck.",complaint
"Good morning, keep up the efficiency, I really enjoy using the smartwatch.",feedback
Great experience with the smartwatch today.,feedback
My reservation never arrived and I need a refund.,complaint
Kindly rebooking my laptop as soon as possible.,request
"Hi support team, please send me the boarding pass for this morning.",request
"The delay in airline service is awful, very disappointed.",complaint
Can someone help me with terms of service?,inquiry
I need to correction my hotel room to gold status.,request
I am looking to refund my current prescription.,request
"Hello, can you upgrade this for me?",request
I want to change my email address.,request
How long does background check usually take?,inquiry
Your customer support is fantastic.,feedback
I would like to request a upgrade for my gym membership.,request
"Dear Team, can you please update me on the status of my reservation?",inquiry
I am writing to complain about the dissatisfied customer support.,complaint
Is there any miles available for seniors?,inquiry
What are your return instructions?,inquiry
"Hello, can you please update me on the status of my hotel room?",inquiry
Is there any voucher available for frequent flyers?,inquiry
Please send me the bank statement for this morning.,request
I want to change my mailing address.,request
"Still no response regarding my delay, this is poor.",complaint
I am writing to complain about the frustrated banking.,complaint
I am looking to update my current gym membership.,request
I am looking to cancellation my current flight.,request
I would like to request a correction for my hotel room.,request
"I love the mobile app you added, very useful.",feedback
Kindly rebooking my reservation as soon as possible.,request
Please send me the boarding pass for the previous quarter.,request
I am writing to complain about the unacceptable medical staff.,complaint
Please cancellation my delivery immediately.,request
"I love the rewards portal you added, very amazing.",feedback
I am writing to complain about the frustrated customer support.,complaint
Please send me the receipt for my recent stay.,request
"Still no response regarding my overcharge, this is unpleasant.",complaint
This is the fourth time I'm contacting you about the cancellation.,complaint
"Hey, can you please update me on the status of my reservation?",inquiry
Just wanted to say that your credit card is useful!,feedback
Kindly upgrade my flight as soon as possible.,request
Just wanted to say that your laptop is great!,feedback
The gym membership I received is not happy and not working.,complaint
Great experience with the delivery today.,feedback
"I love the dark mode you added, very useful.",feedback
Is there any voucher available for students?,inquiry
Could you provide more details about the loyalty program?,inquiry
Where can I find information on interest rates?,inquiry
Where can I find information on membership perks?,inquiry
"Hi, please correction my prescription immediately.",request
"The delay in airline service is awful, very disappointed.",complaint
Your customer support is fantastic.,feedback
My hotel room has a defect and I need a upgrade.,complaint
"Good morning, can someone help me with loyalty program?",inquiry
How long does background check usually take?,inquiry
Just wanted to say that your prescription is fantastic!,feedback
My prescription was canceled and I need a fix.,complaint
"Still no response regarding my damaged goods, this is unacceptable.",complaint
I have been billed twice for the same reservation.,complaint
I have a question about health coverage.,inquiry
Please correction my insurance policy immediately.,request
"Hi there, I am annoyed with my laptop, the delay is still not fixed.",complaint
"The delay in medical staff is annoyed, very disappointed.",complaint
Thank you for managing my wrong item quickly.,feedback
I am writing to complain about the poor banking.,complaint
Thank you for addressing my wrong item quickly.,feedback
"Useful reservation, really appreciate your support!",feedback
"Good morning, This is the multiple time I'm contacting you about the damaged goods.",complaint
Where can I find information on health coverage?,inquiry
I need to update my laptop to enterprise plan.,request
Could you provide more details about the privacy settings?,inquiry
I want to change my email address.,request
The gym membership I received is unpleasant and not working.,complaint
"Hello, can someone help me with terms of service?",inquiry
I have been billed twice for the same hotel room.,complaint
Could you provide more details about the privacy settings?,inquiry
"Hello Support, This is the fourth time I'm contacting you about the bad connection.",complaint
Is there any promo code available for premium clients?,inquiry
"Hi there, keep up the work, I really enjoy using the flight.",feedback
"Dear Team, can someone help me with membership perks?",inquiry
Can someone help me with terms of service?,inquiry
Please send me the confirmation for yesterday.,request
I have been debited twice for the same credit card.,complaint
"I love the tracking system you added, very useful.",feedback
Can you upgrade this for me?,request
How long does account verification usually take?,inquiry
Could you provide more details about the privacy settings?,inquiry
"To whom it may concern, can you correction this for me?",request
I need to update my gym membership to premium tier.,request
"Keep up the support, I really enjoy using the prescription.",feedback
"Still no response regarding my cancellation, this is annoyed.",complaint
My insurance policy is broken and I need a correction.,complaint
Where can I find information on interest rates?,inquiry
I need to refund my prescription to the latest model.,request
Could you provide more details about the loyalty program?,inquiry
"I love the speed you added, very useful.",feedback
I want to change my payment method.,request
I am writing to complain about the frustrated banking.,complaint
"Hi, please correction my insurance policy immediately.",request
"Keep up the good job, I really enjoy using the delivery.",feedback
Could you provide more details about the interest rates?,inquiry
I want to change my payment method.,request
Just wanted to say that your laptop is amazing!,feedback
I am writing to complain about the terrible customer support.,complaint
What are your help center hours?,inquiry
I would like to request a update for my laptop.,request
"Good morning, I am unpleasant with my flight, the damaged goods is still unresolved.",complaint
I am looking to upgrade my current laptop.,request
"Hello Support, keep up the efficiency, I really enjoy using the credit card.",feedback
Where can I find information on loyalty program?,inquiry
Is there any coupon available for premium clients?,inquiry
Could you provide more details about the privacy settings?,inquiry
Where can I find information on interest rates?,inquiry
"The delay in medical staff is disappointed, very disappointed.",complaint
"Greetings, I am not happy with my gym membership, the cancellation is still unresolved.",complaint
Thank you for solving my technical glitch quickly.,feedback
Can you replacement this for me?,request
Great experience with the flight today.,feedback
I am writing to complain about the awful medical staff.,complaint
Is there any coupon available for new members?,inquiry
How long does delivery usually take?,inquiry
"Your smartwatch is very seamless, well done.",feedback
Thank you for resolving my cancellation quickly.,feedback
I have been charged twice for the same hotel room.,complaint
Kindly correction my smartwatch as soon as possible.,request
"Keep up the support, I really enjoy using the gym membership.",feedback
"Hello Support, amazing credit card, really appreciate your efficiency!",feedback
I am looking to correction my current delivery.,request
Thank you for solving my bad connection quickly.,feedback
"Good morning, how long does account verification usually take?",inquiry
Your customer support is helpful.,feedback
I have been charged twice for the same insurance policy.,complaint
"Still no response regarding my wrong item, this is unacceptable.",complaint
Your customer support is useful.,feedback
"Keep up the good job, I really enjoy using the laptop.",feedback
Your customer support is useful.,feedback
"I love the dark mode you added, very wonderful.",feedback
My smartwatch is malfunctioning and I need a refund.,complaint
Where can I find information on interest rates?,inquiry
I would like to request a rebooking for my laptop.,request
"Hello, please send me the invoice for last month.",request
Your customer support is fantastic.,feedback
I am writing to complain about the unacceptable medical staff.,complaint
Could you provide more details about the interest rates?,inquiry
Could you provide more details about the health coverage?,inquiry
Can you please update me on the status of my insurance policy?,inquiry
I need to cancellation my reservation to the latest model.,request
"Hey, what are your branch locations?",inquiry
I am looking to refund my current credit card.,request
This is the multiple time I'm contacting you about the overcharge.,complaint
Your customer support is wonderful.,feedback
"The delay in tech support is unpleasant, very disappointed.",complaint
I want to change my account ID.,request
Great experience with the credit card today.,feedback
Please correction my reservation immediately.,request
I would like to request a update for my credit card.,request
"I love the mobile app you added, very useful.",feedback
"Hello, can you cancellation this for me?",request
"Hello Support, your gym membership is very wonderful, bravo.",feedback
"I love the mobile app you added, very fantastic.",feedback
"Still no response regarding my damaged goods, this is awful.",complaint
"I am terrible with my prescription, the bad connection is still open.",complaint
"Hi support team, can you please update me on the status of my prescription?",inquiry
I have been invoiced twice for the same smartwatch.,complaint
I am writing to complain about the frustrated customer support.,complaint
I have been billed twice for the same insurance policy.,complaint
Your customer support is useful.,feedback
Your customer support is excellent.,feedback
This is the multiple time I'm contacting you about the bad connection.,complaint
Please upgrade my delivery immediately.,request
"Keep up the help, I really enjoy using the flight.",feedback
"To whom it may concern, I am not happy with my delivery, the delay is still unresolved.",complaint
Can someone help me with privacy settings?,inquiry
"Hey, I am annoyed with my laptop, the wrong item is still ongoing.",complaint
I am writing to complain about the terrible medical staff.,complaint
"Good morning, can you please update me on the status of my credit card?",inquiry
"Dear Team, please rebooking my flight immediately.",request
"Hello, can someone help me with health coverage?",inquiry
I would like to request a fix for my reservation.,request
Is there any promo code available for referrals?,inquiry
Where can I find information on membership perks?,inquiry
I need to upgrade my flight to gold status.,request
Can you upgrade this for me?,request
Kindly refund my gym membership as soon as possible.,request
How long does background check usually take?,inquiry
"Still no response regarding my delay, this is disappointed.",complaint
I need to cancellation my prescription to premium tier.,request
Your customer support is helpful.,feedback
I am writing to complain about the disappointed shipping.,complaint
I have been billed twice for the same smartwatch.,complaint
This is the fifth time I'm contacting you about the delay.,complaint
I have a question about baggage policy.,inquiry
"Dear Team, the gym membership I received is frustrated and not working.",complaint
Please send me the invoice for last month.,request
I want to change my payment method.,request
"Hi support team, please send me the confirmation for the previous quarter.",request
Can someone help me with privacy settings?,inquiry
"Hi, what are your check-in times?",inquiry
Great experience with the prescription today.,feedback
"Still no response regarding my damaged goods, this is terrible.",complaint
I would like to request a rebooking for my flight.,request
Please upgrade my credit card immediately.,request
Could you provide more details about the warranty?,inquiry
"Greetings, what are your branch locations?",inquiry
"Hello, how long does background check usually take?",inquiry
Great experience with the delivery today.,feedback
Your customer support is useful.,feedback
Can someone help me with baggage policy?,inquiry
"The delay in shipping is disappointed, very disappointed.",complaint
Your customer support is great.,feedback
"Keep up the good job, I really enjoy using the smartwatch.",feedback
Could you provide more details about the interest rates?,inquiry
Could you provide more details about the privacy settings?,inquiry
Is there any discount available for seniors?,inquiry
My smartwatch is malfunctioning and I need a cancellation.,complaint
"Dear Team, can you please update me on the status of my flight?",inquiry
Your customer support is brilliant.,feedback
I want to change my payment method.,request
Can someone help me with baggage policy?,inquiry
Kindly upgrade my insurance policy as soon as possible.,request
What are your help center hours?,inquiry
"I am awful with my smartwatch, the cancellation is still stuck.",complaint
"Still no response regarding my cancellation, this is poor.",complaint
Could you provide more details about the membership perks?,inquiry
Could you provide more details about the terms of service?,inquiry
