subject,body,intent,meeting_booked,is_human,hostility,revisit_later,hard,lang
Re: quick question,I'm travelling this week with patchy signal -- I'll come back to you properly next Monday.,ooo,False,True,0,False,True,en
Automatic reply: hi,I'm away from my desk and will respond on my return.,ooo,False,False,0,False,False,en
AUTOMATIC REPLY,OOO until 10/03. Not monitoring email.,ooo,False,False,0,False,False,en
Re: intro,"Heads up, I'm out until the 14th but yes, interested -- let's set something up when I'm back.",interested,False,True,0,False,True,en
Automatische Antwort: kurze Frage,Ich bin bis zum 5. Oktober nicht im Büro und habe keinen Zugriff auf meine E-Mails.,ooo,False,False,0,False,False,de
Réponse automatique : question rapide,Je suis absent du bureau jusqu'au 12 octobre. Je répondrai à mon retour.,ooo,False,False,0,False,False,fr
Respuesta automática: hola,"Estoy fuera de la oficina hasta el lunes. Para asuntos urgentes, contacte a soporte@acme.com.",ooo,False,False,0,False,False,es
Automatic reply: quick question,自動返信：10月5日まで不在にしております。,ooo,False,False,0,False,False,ja
Out of office,Maternity leave. Back in six months. Please remove me from any active threads.,ooo,False,False,0,False,True,en
Automatic reply,I have left Acme. Please direct enquiries to hello@acme.com.,referral,False,False,0,False,True,en
Auto: Re: pipeline,Working reduced hours Thursday and Friday. Responses may be slow.,ooo,False,False,0,False,False,en
Automatic reply: intro,Out sick. Will review when back.,ooo,False,False,0,False,False,en
Re: quick question,Remove me from your list.,unsubscribe,False,True,0,False,False,en
Re: intro,unsubscribe,unsubscribe,False,True,0,False,False,en
Re: forecasting,Please take me off this list and do not contact me again.,unsubscribe,False,True,0,False,False,en
Re: hi,STOP EMAILING ME,unsubscribe,False,True,2,False,False,en
Re: quick question,"Not interested, and please remove me from your database.",unsubscribe,False,True,0,False,True,en
Re: Acme,I did not opt in to this. Delete my data under GDPR Article 17 and confirm in writing.,unsubscribe,False,True,2,False,False,en
Re: 15 minutes?,opt out,unsubscribe,False,True,0,False,False,en
Re: following up,This is the third email. Stop.,unsubscribe,False,True,2,False,False,en
Re: hello,Please unsubscribe me from all future communications. Thank you.,unsubscribe,False,True,0,False,False,en
Re: quick question,Take me off. Also how did you get my email?,unsubscribe,False,True,0,False,True,en
Re: intro,Do not contact me or anyone at this company again. We will report this as spam.,unsubscribe,False,True,2,False,False,en
Re: Q4,remove,unsubscribe,False,True,0,False,False,en
Re: pipeline coverage,Kindly remove my address from your marketing lists.,unsubscribe,False,True,0,False,False,en
Re: hi,No. Unsubscribe.,unsubscribe,False,True,0,False,False,en
Re: quick question,I've marked this as spam and I'm unsubscribing. Please respect that.,unsubscribe,False,True,1,False,False,en
Re: quick question,I don't own this any more -- Sam Okoye does. Copying him here.,referral,False,True,0,False,False,en
Re: intro,"You want our RevOps lead, not me. Try priya@acme.com.",referral,False,True,0,False,False,en
Re: forecasting,Wrong person. Procurement handles vendor evaluations.,referral,False,True,0,False,True,en
Re: Acme + Vendor,I've left Northwind. My replacement is Dana Whitfield.,referral,False,True,0,False,False,en
Re: hi,Forwarding to our Head of Sales Ops who'd be the right contact.,referral,False,True,0,False,False,en
Re: 15 minutes?,Adding Marcus who runs this area. I'll step back.,referral,False,True,0,False,False,en
Re: quick question,Not my remit but I'll pass it on internally.,referral,False,True,0,False,True,en
Re: pipeline,"Please direct this to legal@acme.com, all vendor outreach goes through them.",referral,False,True,0,False,False,en
Re: intro,I moved to the product org last quarter. Ping Elena on the GTM side.,referral,False,True,0,False,False,en
Re: Q4 planning,"cc'ing Tom, he owns the tooling budget.",referral,False,True,0,False,False,en
Re: hello,That'd be a question for our CRO. Happy to intro if it's genuinely relevant.,referral,False,True,0,False,True,en
Re: quick question,"Try our IT team, they gatekeep all software purchases here.",referral,False,True,0,False,False,en
Re: demo,"I'm an IC, not a buyer. My manager is copied.",referral,False,True,0,False,False,en
Re: revenue,Sending this over to the team that would actually use it.,referral,False,True,0,False,False,en
Re: intro,"Wrong Dana. You want Dana Whitfield at Northwind, I'm at Southgate.",other,False,True,0,False,True,en
Undeliverable: quick question,Your message to dana.whitfield@northwind.com couldn't be delivered. The email address you entered couldn't be found. 550 5.1.1 User unknown,bounce,False,False,0,False,False,en
Mail delivery failed: returning message to sender,This is the mail system at host mx.acme.com. I'm sorry to have to inform you that your message could not be delivered to one or more recipients. 550 5.1.1 <sam@acme.com>: Recipient address rejected: User unknown in virtual mailbox table,bounce,False,False,0,False,False,en
Delivery Status Notification (Failure),"Address not found. Your message wasn't delivered to priya@acme.com because the address couldn't be found, or is unable to receive mail.",bounce,False,False,0,False,False,en
Delivery Status Notification (Delay),This is an automatically generated Delivery Status Notification. THIS IS A WARNING MESSAGE ONLY. Your message has not been delivered yet. Delivery will be retried for 24 hours.,bounce,False,False,0,False,True,en
Undelivered Mail Returned to Sender,The mail system: host mail.northwind.com said: 552 5.2.2 Mailbox full (in reply to RCPT TO command),bounce,False,False,0,False,False,en
failure notice,Hi. This is the qmail-send program at acme.com. I'm afraid I wasn't able to deliver your message. Sorry it didn't work out. Permanent failure.,bounce,False,False,0,False,False,en
Undeliverable: intro,Your message wasn't delivered because the recipient's email provider rejected it. 554 5.7.1 Message rejected due to content restrictions,bounce,False,False,0,False,True,en
Automatic reply: quick question,dana.whitfield@northwind.com is no longer with the company. This mailbox is not monitored.,bounce,False,False,0,False,True,en
Returned mail: see transcript for details,"The original message was received at Tue, 15 Sep 2026 09:02:11. ----- The following addresses had permanent fatal errors -----",bounce,False,False,0,False,False,en
Delivery has failed to these recipients or groups,The recipient's mailbox is full and can't accept messages now. Microsoft Exchange Server 2019.,bounce,False,False,0,False,False,en
Re: quick question,Who is this?,other,False,True,0,False,False,en
Re: intro,How did you get my email address?,other,False,True,1,False,True,en
Re: hi,?,other,False,True,0,False,False,en
Re: forecasting,Is this a real company or is this AI generated?,other,False,True,1,False,False,en
Re: Acme,Thanks!,other,False,True,0,False,True,en
Re: quick question,Received.,other,False,True,0,False,False,en
Re: intro,Hi -- are you the same vendor we spoke to in 2023? The name is familiar.,other,False,True,0,False,True,en
Re: 15 minutes?,"sorry, sent that to the wrong thread",other,False,True,0,False,False,en
Re: hello,"Do you have a partner programme? We're a consultancy, not a buyer.",other,False,True,0,False,True,en
Re: pipeline coverage,Please stop using my company logo in your emails without permission.,other,False,True,2,False,True,en
Re: quick question,Noted.,other,False,True,0,False,False,en
Re: demo,What's your data retention policy? Asking before I engage at all.,other,False,True,0,False,True,en
Re: intro,I'll forward this to my spam folder where it belongs.,not_interested,False,True,2,False,True,en
Re: Q4,Can you resend? The link in your email is broken.,other,False,True,0,False,True,en
Re: hi,"unsubscribe from this thread only please, keep me on the newsletter",unsubscribe,False,True,0,False,True,en
